Ad,SubAccount,TotalLeads,Conversions,ConversionRate
23848680438940389 - Image 3,G?st?v? L?p?z,1918,386,0.20125130344108447
23849802192190251 - Image 4,C?s? S?ñ?d? KC,1318,178,0.13505311077389984
23847344501350467 - Image 2,K?ll?r W?ll??ms Pr?f?rr?d R??lty,1064,207,0.19454887218045114
23847344501350467 - Image 1,K?ll?r W?ll??ms Pr?f?rr?d R??lty,719,122,0.16968011126564672
23850461783140556 - Image 2,B?rn?s ?nt?rn?t??n?l,689,109,0.15820029027576196
23848694716140131 - Image 1,L?dy M?rt?n?z,623,135,0.21669341894060995
23848602840980131 - Image 1,??w? C?mpr? y V?nt? d? C?s?s,585,136,0.23247863247863249
23851921267120131 - Image 3,M?g??l H?wk?ns Pr?st?m?st? c?n H?m?st?r,484,58,0.11983471074380166
23848831604750324 - Image 1,L?k? M?ch?g?n R??lty M?n?g?m?nt,462,91,0.19696969696969696
23847344501350467 - Image 3,K?ll?r W?ll??ms Pr?f?rr?d R??lty,451,95,0.2106430155210643
23851310960030430 - Image 3,?rt M?nd?z? R??lt?r,447,69,0.15436241610738255
23851920354810131 - Image 4,??x? L?ndr?n F?th?rs?n R??lty ?nc.,430,42,0.09767441860465116
23847418475480235 - Image 1,S??ñ?s ?n?d?s,423,68,0.1607565011820331
23848679140170131 - Image 4,M?r??l? M?rt?n?z,414,66,0.15942028985507245
23852564330740072 - Image 2,R?D R??l ?st?t?,411,49,0.1192214111922141
23851842763420430 - Image 2,C?rd?n?l F?n?nc??l C?mp?ny,407,48,0.11793611793611794
23852610079770430 - Image 1,V?l?r?? S?lv? R??lt?r,374,65,0.17379679144385027
23848590450780179 - Image 1,D?v?d T?rr?s,373,58,0.1554959785522788
23847344501350467 - Image 4,K?ll?r W?ll??ms Pr?f?rr?d R??lty,359,77,0.21448467966573817
23852169021510430 - Image 3,C?mpr? C?s?s ?n T?mp?,354,37,0.10451977401129943
23851082478330430 - Image 2,B?rn?s ?nt?rn?t??n?l,338,45,0.13313609467455623
23849530828510279 - Image 2,M?lt?n ?rr?y?,321,47,0.14641744548286603
23851885087240131 - Image 4,R?th - C?mp?s ?nt?rn?t??n?l Gr??p,318,42,0.1320754716981132
23848679140170131 - Image 1,M?r??l? M?rt?n?z,308,64,0.2077922077922078
23853218002630195 - Image 2,Bl?nc? C?t?v?,305,41,0.13442622950819672
23848680438940389 - Image 4,G?st?v? L?p?z,297,59,0.19865319865319866
23849530828510279 - Image 1,M?lt?n ?rr?y?,295,59,0.2
23848831604750324 - Image 3,L?k? M?ch?g?n R??lty M?n?g?m?nt,288,60,0.20833333333333334
23848679140170131 - Image 3,M?r??l? M?rt?n?z,287,44,0.15331010452961671
23848679140170131 - Image 2,M?r??l? M?rt?n?z,284,72,0.2535211267605634
23847418475480235 - Image 3,S??ñ?s ?n?d?s,283,49,0.17314487632508835
23851885087240131 - Image 3,R?th - C?mp?s ?nt?rn?t??n?l Gr??p,278,47,0.16906474820143885
23849802192190251 - Image 2,C?s? S?ñ?d? KC,269,42,0.15613382899628253
23847702975130235 - Image 4,S??ñ?s ?n?d?s,267,58,0.21722846441947566
23851686611040554 - Image 3,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,251,55,0.21912350597609562
23851842743270430 - Image 4,R?zrGr??p,248,16,0.06451612903225806
23849530828510279 - Image 3,M?lt?n ?rr?y?,244,41,0.1680327868852459
23848602840980131 - Image 4,??w? C?mpr? y V?nt? d? C?s?s,220,49,0.22272727272727272
23849802192190251 - Image 1,C?s? S?ñ?d? KC,214,45,0.2102803738317757
23847590781720443 - Image 2,?l?x C?rd?v?,197,43,0.2182741116751269
23851842763420430 - Image 4,C?rd?n?l F?n?nc??l C?mp?ny,195,26,0.13333333333333333
23847418475480235 - Image 2,S??ñ?s ?n?d?s,194,50,0.25773195876288657
23852340217630071 - Image 4,M?r??l? M?rt?n?z,189,17,0.08994708994708994
23852056531110430 - Image 3,G?st?v? L?p?z,188,29,0.15425531914893617
23851082478330430 - Image 1,B?rn?s ?nt?rn?t??n?l,187,30,0.16042780748663102
23847590781720443 - Image 1,?l?x C?rd?v?,187,31,0.1657754010695187
23850780597750062 - Image 3,L?k? M?ch?g?n R??lty M?n?g?m?nt,183,36,0.19672131147540983
23852078169570131 - Image 4,R?c?rd? R??z - GK Pr?p?rt??s,182,29,0.15934065934065933
23848789733590235 - Image 2,S??ñ?s ?n?d?s,181,38,0.20994475138121546
23852755827010389 - Image 1,G?st?v? L?p?z,180,21,0.11666666666666667
23851738692890430 - Image 3,L?dy M?rt?n?z,179,42,0.2346368715083799
23852082337300430 - Image 3,?p?f?n?? ?lm?d?v?r Th? F?d?r?l S?v?ngs B?nk,177,28,0.15819209039548024
23848789733590235 - Image 3,S??ñ?s ?n?d?s,174,36,0.20689655172413793
23851867811530430 - Image 1,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,174,22,0.12643678160919541
23851842743270430 - Image 3,R?zrGr??p,161,15,0.09316770186335403
23852502292260430 - Image 4,J?nn?f?r T?l?d?,161,28,0.17391304347826086
23849781343700220 - Image 1,??x? L?ndr?n F?th?rs?n R??lty ?nc.,156,21,0.1346153846153846
23851610925090062 - Image 1,R?zrGr??p,154,28,0.18181818181818182
23851149622980131 - Image 3,??w? C?mpr? y V?nt? d? C?s?s,151,31,0.2052980132450331
23852082337300430 - Image 2,?p?f?n?? ?lm?d?v?r Th? F?d?r?l S?v?ngs B?nk,149,20,0.1342281879194631
23851813107780554 - Image 1,R?/M?X ?N? P?LMD?L?,143,19,0.13286713286713286
23851867736860430 - Image 1,D?v?d T?rr?s,139,28,0.2014388489208633
23847590781720443 - Image 4,?l?x C?rd?v?,139,24,0.17266187050359713
23850780597750062 - Image 4,L?k? M?ch?g?n R??lty M?n?g?m?nt,138,35,0.2536231884057971
23851842570510430 - Image 2,L?k? M?ch?g?n R??lty M?n?g?m?nt,136,21,0.15441176470588236
